Latitude-1 Latitude-2 Longitude-1 Longitude-2
5.6791 5.879 33.1189 33.319
5.6791 5.879 33.5688 33.7689
5.6791 5.879 34.0187 34.2188
5.6791 5.879 34.4687 34.6687
5.6791 5.879 34.9186 35.1187
5.6791 5.879 35.3685 35.5686
5.6791 5.879 35.8184 36.0185
5.6791 5.879 36.2683 36.4684
5.6791 5.879 36.7182 36.9183
5.6791 5.879 37.1681 37.3681
5.6791 5.879 37.6181 37.8181
5.6791 5.879 38.068 38.2681
5.6791 5.879 38.5179 38.718
5.6791 5.879 38.9678 39.1679
5.6791 5.879 39.4177 39.6178
5.6791 5.879 39.8676 40.0677
5.6791 5.879 40.3176 40.5176
5.6791 5.879 40.7675 40.9676
5.6791 5.879 41.2174 41.4175
5.6791 5.879 41.6673 41.8674
5.6791 5.879 41.8923 42.0923
5.2392 5.4391 33.1189 33.319
5.2392 5.4391 33.5688 33.7689
5.2392 5.4391 34.0187 34.2188
5.2392 5.4391 34.4687 34.6687
5.2392 5.4391 34.9186 35.1187
5.2392 5.4391 35.3685 35.5686
5.2392 5.4391 35.8184 36.0185
5.2392 5.4391 36.2683 36.4684
5.2392 5.4391 36.7182 36.9183
5.2392 5.4391 37.1681 37.3681
5.2392 5.4391 37.6181 37.8181
5.2392 5.4391 38.068 38.2681
5.2392 5.4391 38.5179 38.718
5.2392 5.4391 38.9678 39.1679
5.2392 5.4391 39.4177 39.6178
5.2392 5.4391 39.8676 40.0677
5.2392 5.4391 40.3176 40.5176
5.2392 5.4391 40.7675 40.9676
5.2392 5.4391 41.2174 41.4175
5.2392 5.4391 41.6673 41.8674
5.2392 5.4391 41.8923 42.0923
4.7992 4.9992 33.1189 33.319
4.7992 4.9992 33.5688 33.7689
4.7992 4.9992 34.0187 34.2188
4.7992 4.9992 34.4687 34.6687
4.7992 4.9992 34.9186 35.1187
4.7992 4.9992 35.3685 35.5686
4.7992 4.9992 35.8184 36.0185
4.7992 4.9992 36.2683 36.4684
4.7992 4.9992 36.7182 36.9183
4.7992 4.9992 37.1681 37.3681
4.7992 4.9992 37.6181 37.8181
4.7992 4.9992 38.068 38.2681
4.7992 4.9992 38.5179 38.718
4.7992 4.9992 38.9678 39.1679
4.7992 4.9992 39.4177 39.6178
4.7992 4.9992 39.8676 40.0677
4.7992 4.9992 40.3176 40.5176
4.7992 4.9992 40.7675 40.9676
4.7992 4.9992 41.2174 41.4175
4.7992 4.9992 41.6673 41.8674
4.7992 4.9992 41.8923 42.0923
4.3593 4.5592 33.1189 33.319
4.3593 4.5592 33.5688 33.7689
4.3593 4.5592 34.0187 34.2188
4.3593 4.5592 34.4687 34.6687
4.3593 4.5592 34.9186 35.1187
4.3593 4.5592 35.3685 35.5686
4.3593 4.5592 35.8184 36.0185
4.3593 4.5592 36.2683 36.4684
4.3593 4.5592 36.7182 36.9183
4.3593 4.5592 37.1681 37.3681
4.3593 4.5592 37.6181 37.8181
4.3593 4.5592 38.068 38.2681
4.3593 4.5592 38.5179 38.718
4.3593 4.5592 38.9678 39.1679
4.3593 4.5592 39.4177 39.6178
4.3593 4.5592 39.8676 40.0677
4.3593 4.5592 40.3176 40.5176
4.3593 4.5592 40.7675 40.9676
4.3593 4.5592 41.2174 41.4175
4.3593 4.5592 41.6673 41.8674
4.3593 4.5592 41.8923 42.0923
3.9194 4.1193 33.1189 33.319
3.9194 4.1193 33.5688 33.7689
3.9194 4.1193 34.0187 34.2188
3.9194 4.1193 34.4687 34.6687
3.9194 4.1193 34.9186 35.1187
3.9194 4.1193 35.3685 35.5686
3.9194 4.1193 35.8184 36.0185
3.9194 4.1193 36.2683 36.4684
3.9194 4.1193 36.7182 36.9183
3.9194 4.1193 37.1681 37.3681
3.9194 4.1193 37.6181 37.8181
3.9194 4.1193 38.068 38.2681
3.9194 4.1193 38.5179 38.718
3.9194 4.1193 38.9678 39.1679
3.9194 4.1193 39.4177 39.6178
3.9194 4.1193 39.8676 40.0677
3.9194 4.1193 40.3176 40.5176
3.9194 4.1193 40.7675 40.9676
3.9194 4.1193 41.2174 41.4175
3.9194 4.1193 41.6673 41.8674
3.9194 4.1193 41.8923 42.0923
3.4794 3.6795 33.1189 33.319
3.4794 3.6795 33.5688 33.7689
3.4794 3.6795 34.0187 34.2188
3.4794 3.6795 34.4687 34.6687
3.4794 3.6795 34.9186 35.1187
3.4794 3.6795 35.3685 35.5686
3.4794 3.6795 35.8184 36.0185
