Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
3/10/2004,18:00:00,2.6,1292,112,9.4,955,103,1174,92,1559,972,18.5,65.2,1.0411
3/10/2004,19:00:00,2,1402,88,9.0,939,131,1140,114,1555,1074,21.0,58.9,1.0746
3/10/2004,20:00:00,2.2,1376,80,9.2,948,172,1092,122,1584,1203,21.3,59.5,0.9974
3/10/2004,21:00:00,2.2,1272,51,6.5,836,131,1205,116,1490,1110,21.3,57.7,0.8997
3/10/2004,22:00:00,1.6,1197,38,4.7,750,89,1337,96,1393,949,21.3,56.1,0.9087
3/10/2004,23:00:00,1.2,1185,31,3.6,690,62,1462,77,1333,733,21.3,58.0,0.8881
3/11/2004,0:00:00,1.2,1136,31,3.3,672,62,1453,76,1333,730,20.2,58.4,0.8581
3/11/2004,1:00:00,1,1094,24,2.3,609,45,1579,60,1276,620,17.0,58.2,0.8446
3/11/2004,2:00:00,0.9,1010,19,1.7,561,-200,1705,-200,1235,501,15.6,59.9,0.8315
3/11/2004,3:00:00,0.6,1011,14,1.3,527,21,1818,34,1197,445,15.3,60.8,0.8224
3/11/2004,4:00:00,-200,1066,8,1.1,512,16,1918,28,1182,422,14.5,63.1,0.8164
3/11/2004,5:00:00,0.7,1052,16,1.6,553,34,1738,48,1221,472,13.9,60.1,0.8593
3/11/2004,6:00:00,0.7,1144,29,3.2,667,98,1490,82,1339,730,14.5,68.4,0.8652
3/11/2004,7:00:00,1.1,1333,64,8.0,900,174,1136,112,1517,1102,13.8,68.7,0.8630
3/11/2004,8:00:00,2,1351,87,9.5,960,129,1079,101,1583,1028,14.0,64.2,0.8394
3/11/2004,9:00:00,2.2,1233,77,6.3,827,112,1218,98,1446,860,13.0,58.1,0.8299
3/11/2004,10:00:00,1.7,1179,43,5.0,762,95,1328,92,1362,671,11.0,52.0,0.8325
3/11/2004,11:00:00,1.5,1236,61,5.2,774,104,1301,95,1401,664,10.1,50.8,0.8243
3/11/2004,12:00:00,1.6,1286,63,7.3,869,146,1162,112,1537,799,8.8,47.4,0.8273
3/11/2004,13:00:00,1.9,1371,164,11.5,1034,207,983,128,1730,1037,9.6,42.7,0.8455
3/11/2004,14:00:00,2.9,1310,79,8.8,933,184,1082,126,1647,946,9.8,38.1,0.8892
3/11/2004,15:00:00,2.2,1292,95,8.3,912,193,1103,131,1591,957,10.0,36.7,0.8693
3/11/2004,16:00:00,2.2,1383,150,11.2,1020,243,1008,135,1719,1104,11.2,40.5,0.8743
3/11/2004,17:00:00,2.9,1581,307,20.8,1319,281,799,151,2083,1409,12.0,41.8,0.8797
3/11/2004,18:00:00,4.8,1776,461,27.4,1488,383,702,172,2333,1704,12.8,42.8,0.8771
3/11/2004,19:00:00,6.9,1640,401,24.0,1404,351,743,165,2191,1654,13.1,46.8,-200
3/11/2004,20:00:00,6.1,1313,197,12.8,1076,240,957,136,1707,1285,13.8,47.0,-200
3/11/2004,21:00:00,3.9,965,61,4.7,749,94,1325,85,1333,821,16.0,49.6,-200
3/11/2004,22:00:00,1.5,913,26,2.6,629,47,1565,53,1252,552,14.1,54.1,0.7913
3/11/2004,23:00:00,1,1080,55,5.9,805,122,1254,97,1375,816,12.0,59.2,0.8814
3/12/2004,0:00:00,1.7,1044,53,6.4,829,133,1247,110,1378,832,13.6,62.2,0.8878
3/12/2004,1:00:00,1.9,988,40,4.1,718,82,1396,91,1304,692,13.7,61.4,0.8493
3/12/2004,2:00:00,1.4,889,21,1.9,574,-200,1680,-200,1187,512,11.7,64.6,0.8341
3/12/2004,3:00:00,0.8,831,10,1.1,506,21,1893,32,1134,384,11.5,63.2,0.8569
3/12/2004,4:00:00,-200,847,7,1.0,501,30,1895,44,1155,394,12.6,64.4,0.8757
3/12/2004,5:00:00,0.6,927,17,1.8,571,56,1685,71,1223,487,12.0,63.8,0.8701
3/12/2004,6:00:00,0.8,1091,33,4.4,730,109,1387,104,1361,748,11.0,65.8,0.8922
3/12/2004,7:00:00,1.4,1587,202,17.9,1236,307,897,141,1900,1400,11.1,65.6,0.9229
3/12/2004,8:00:00,4.4,1545,-200,22.1,1353,-200,767,-200,2058,1588,10.8,64.0,0.8869
3/12/2004,9:00:00,-200,1350,208,14.0,1118,187,912,122,1712,1237,11.3,55.6,0.8775
3/12/2004,10:00:00,3.1,1263,166,11.6,1037,216,969,143,1598,1167,10.6,46.8,0.9738
3/12/2004,11:00:00,2.7,1206,114,10.2,986,143,1035,113,1537,959,10.2,34.4,0.9671
3/12/2004,12:00:00,2.1,1252,140,11.0,1016,160,1008,116,1593,983,10.9,30.2,1.0254
3/12/2004,13:00:00,2.5,1287,169,12.8,1078,163,949,123,1660,1061,10.8,34.2,1.0221
3/12/2004,14:00:00,2.7,1353,185,14.2,1122,190,922,126,1740,1139,10.4,30.6,1.0136
3/12/2004,15:00:00,2.9,1309,165,12.7,1073,178,954,120,1657,1112,11.0,28.7,1.0013
