Date (Jul-Sep), NRB (mm), KAK (mm), MAK (mm), WAJ (mm)
07-2000,22.01,526.8,18.45,12.21999
07-2001,57.55001,539.0801,0.9,13.44
07-2002,45.17,349.27,20.47,15.32
07-2003,77.08001,660.0199,2.27,8.940001
07-2004,16.48,424.6999,0.7099997,4.819999
07-2005,31.76,327.3999,4.420001,11.81
07-2006,47.21001,567.6299,6.75,23.69
07-2007,87.3,696.9501,1.51,13.65
07-2008,79.17998,663.2001,1.29,9.049999
07-2009,14.09,464.89,0.4299998,2.11
07-2010,30.62,574.6301,1.51,10.32
07-2011,60.98001,553.2299,7.46,5.8
07-2012,52.12,231.75,1.68,23.69
07-2013,81.66998,542.7199,3.54,18.96
07-2014,75.85999,513.9099,58.16999,4.339999
07-2015,44.38999,455.1201,10.74,10.32
07-2016,21.96,395.9,3.71,12.03
07-2017,66.84998,633.7001,23.16,16.76
07-2018,47.03999,498.38,5.05,12.3
07-2019,62.95,600.3,4.46,9.79
07-2020,62.89999,782.9,16.78,12.12
07-2021,34.18999,684.9899,2.66,7.739999
07-2022,49.10001,888.0496,8.009999,16.8
