Latitude-1 Latitude-2 Longitude-1 Longitude-2
5.5935 5.7935 33.1939 33.3939
5.5935 5.7935 33.7938 33.9939
5.5935 5.7935 34.3938 34.5938
5.5935 5.7935 34.9936 35.1936
5.5935 5.7935 35.5934 35.7934
5.5935 5.7935 36.1934 36.3934
5.5935 5.7935 36.7932 36.9932
5.5935 5.7935 37.3931 37.5932
5.5935 5.7935 37.9931 38.1931
5.5935 5.7935 38.5929 38.7929
5.5935 5.7935 39.1928 39.3929
5.5935 5.7935 39.7927 39.9927
5.5935 5.7935 40.3925 40.5925
5.5935 5.7935 40.9924 41.1925
5.5935 5.7935 41.5924 41.7924
4.9825 5.1825 33.1939 33.3939
4.9825 5.1825 33.7938 33.9939
4.9825 5.1825 34.3938 34.5938
4.9825 5.1825 34.9936 35.1936
4.9825 5.1825 35.5934 35.7934
4.9825 5.1825 36.1934 36.3934
4.9825 5.1825 36.7932 36.9932
4.9825 5.1825 37.3931 37.5932
4.9825 5.1825 37.9931 38.1931
4.9825 5.1825 38.5929 38.7929
4.9825 5.1825 39.1928 39.3929
4.9825 5.1825 39.7927 39.9927
4.9825 5.1825 40.3925 40.5925
4.9825 5.1825 40.9924 41.1925
4.9825 5.1825 41.5924 41.7924
4.3715 4.5715 33.1939 33.3939
4.3715 4.5715 33.7938 33.9939
4.3715 4.5715 34.3938 34.5938
4.3715 4.5715 34.9936 35.1936
4.3715 4.5715 35.5934 35.7934
4.3715 4.5715 36.1934 36.3934
4.3715 4.5715 36.7932 36.9932
4.3715 4.5715 37.3931 37.5932
4.3715 4.5715 37.9931 38.1931
4.3715 4.5715 38.5929 38.7929
4.3715 4.5715 39.1928 39.3929
4.3715 4.5715 39.7927 39.9927
4.3715 4.5715 40.3925 40.5925
4.3715 4.5715 40.9924 41.1925
4.3715 4.5715 41.5924 41.7924
3.7605 3.9605 33.1939 33.3939
3.7605 3.9605 33.7938 33.9939
3.7605 3.9605 34.3938 34.5938
3.7605 3.9605 34.9936 35.1936
3.7605 3.9605 35.5934 35.7934
3.7605 3.9605 36.1934 36.3934
3.7605 3.9605 36.7932 36.9932
3.7605 3.9605 37.3931 37.5932
3.7605 3.9605 37.9931 38.1931
3.7605 3.9605 38.5929 38.7929
3.7605 3.9605 39.1928 39.3929
3.7605 3.9605 39.7927 39.9927
3.7605 3.9605 40.3925 40.5925
3.7605 3.9605 40.9924 41.1925
3.7605 3.9605 41.5924 41.7924
3.1495 3.3495 33.1939 33.3939
3.1495 3.3495 33.7938 33.9939
3.1495 3.3495 34.3938 34.5938
3.1495 3.3495 34.9936 35.1936
3.1495 3.3495 35.5934 35.7934
3.1495 3.3495 36.1934 36.3934
3.1495 3.3495 36.7932 36.9932
3.1495 3.3495 37.3931 37.5932
3.1495 3.3495 37.9931 38.1931
3.1495 3.3495 38.5929 38.7929
3.1495 3.3495 39.1928 39.3929
3.1495 3.3495 39.7927 39.9927
3.1495 3.3495 40.3925 40.5925
3.1495 3.3495 40.9924 41.1925
3.1495 3.3495 41.5924 41.7924
2.5385 2.7385 33.1939 33.3939
2.5385 2.7385 33.7938 33.9939
2.5385 2.7385 34.3938 34.5938
2.5385 2.7385 34.9936 35.1936
2.5385 2.7385 35.5934 35.7934
2.5385 2.7385 36.1934 36.3934
2.5385 2.7385 36.7932 36.9932
2.5385 2.7385 37.3931 37.5932
2.5385 2.7385 37.9931 38.1931
2.5385 2.7385 38.5929 38.7929
2.5385 2.7385 39.1928 39.3929
2.5385 2.7385 39.7927 39.9927
2.5385 2.7385 40.3925 40.5925
2.5385 2.7385 40.9924 41.1925
2.5385 2.7385 41.5924 41.7924
1.9275 2.1275 33.1939 33.3939
1.9275 2.1275 33.7938 33.9939
1.9275 2.1275 34.3938 34.5938
1.9275 2.1275 34.9936 35.1936
1.9275 2.1275 35.5934 35.7934
1.9275 2.1275 36.1934 36.3934
1.9275 2.1275 36.7932 36.9932
1.9275 2.1275 37.3931 37.5932
1.9275 2.1275 37.9931 38.1931
1.9275 2.1275 38.5929 38.7929
1.9275 2.1275 39.1928 39.3929
1.9275 2.1275 39.7927 39.9927
1.9275 2.1275 40.3925 40.5925
1.9275 2.1275 40.9924 41.1925
1.9275 2.1275 41.5924 41.7924
1.3165 1.5165 33.1939 33.3939
1.3165 1.5165 33.7938 33.9939
1.3165 1.5165 34.3938 34.5938
1.3165 1.5165 34.9936 35.1936
1.3165 1.5165 35.5934 35.7934
1.3165 1.5165 36.1934 36.3934
1.3165 1.5165 36.7932 36.9932
1.3165 1.5165 37.3931 37.5932
1.3165 1.5165 37.9931 38.1931
1.3165 1.5165 38.5929 38.7929
1.3165 1.5165 39.1928 39.3929
1.3165 1.5165 39.7927 39.9927
1.3165 1.5165 40.3925 40.5925
1.3165 1.5165 40.9924 41.1925
1.3165 1.5165 41.5924 41.7924
0.7055 0.9055 33.1939 33.3939
0.7055 0.9055 33.7938 33.9939
0.7055 0.9055 34.3938 34.5938
0.7055 0.9055 34.9936 35.1936
0.7055 0.9055 35.5934 35.7934
0.7055 0.9055 36.1934 36.3934
0.7055 0.9055 36.7932 36.9932
0.7055 0.9055 37.3931 37.5932
0.7055 0.9055 37.9931 38.1931
0.7055 0.9055 38.5929 38.7929
0.7055 0.9055 39.1928 39.3929
0.7055 0.9055 39.7927 39.9927
0.7055 0.9055 40.3925 40.5925
0.7055 0.9055 40.9924 41.1925
0.7055 0.9055 41.5924 41.7924
0.0945 0.2945 33.1939 33.3939
0.0945 0.2945 33.7938 33.9939
0.0945 0.2945 34.3938 34.5938
0.0945 0.2945 34.9936 35.1936
0.0945 0.2945 35.5934 35.7934
0.0945 0.2945 36.1934 36.3934
0.0945 0.2945 36.7932 36.9932
0.0945 0.2945 37.3931 37.5932
0.0945 0.2945 37.9931 38.1931
0.0945 0.2945 38.5929 38.7929
0.0945 0.2945 39.1928 39.3929
0.0945 0.2945 39.7927 39.9927
0.0945 0.2945 40.3925 40.5925
0.0945 0.2945 40.9924 41.1925
0.0945 0.2945 41.5924 41.7924
-0.5165 -0.3165 33.1939 33.3939
-0.5165 -0.3165 33.7938 33.9939
-0.5165 -0.3165 34.3938 34.5938
-0.5165 -0.3165 34.9936 35.1936
-0.5165 -0.3165 35.5934 35.7934
-0.5165 -0.3165 36.1934 36.3934
-0.5165 -0.3165 36.7932 36.9932
-0.5165 -0.3165 37.3931 37.5932
-0.5165 -0.3165 37.9931 38.1931
-0.5165 -0.3165 38.5929 38.7929
-0.5165 -0.3165 39.1928 39.3929
-0.5165 -0.3165 39.7927 39.9927
-0.5165 -0.3165 40.3925 40.5925
-0.5165 -0.3165 40.9924 41.1925
-0.5165 -0.3165 41.5924 41.7924
-1.1275 -0.9275 33.1939 33.3939
-1.1275 -0.9275 33.7938 33.9939
-1.1275 -0.9275 34.3938 34.5938
-1.1275 -0.9275 34.9936 35.1936
-1.1275 -0.9275 35.5934 35.7934
-1.1275 -0.9275 36.1934 36.3934
-1.1275 -0.9275 36.7932 36.9932
-1.1275 -0.9275 37.3931 37.5932
-1.1275 -0.9275 37.9931 38.1931
-1.1275 -0.9275 38.5929 38.7929
-1.1275 -0.9275 39.1928 39.3929
-1.1275 -0.9275 39.7927 39.9927
-1.1275 -0.9275 40.3925 40.5925
-1.1275 -0.9275 40.9924 41.1925
-1.7385 -1.5385 33.1939 33.3939
-1.7385 -1.5385 33.7938 33.9939
-1.7385 -1.5385 34.3938 34.5938
-1.7385 -1.5385 34.9936 35.1936
-1.7385 -1.5385 35.5934 35.7934
