Time, Merged Station-Satellite Rainfall
Jul-Sep, NRB (mm)
Jul-Sep 1981, 75.66
Jul-Sep 1982, 43.46
Jul-Sep 1983, 63.65998
Jul-Sep 1984, 38.03
Jul-Sep 1985, 46.43003
Jul-Sep 1986, 9.789999
Jul-Sep 1987, 36.55
Jul-Sep 1988, 60.08
Jul-Sep 1989, 79.79001
Jul-Sep 1990, 55.52
Jul-Sep 1991, 23.84
Jul-Sep 1992, 66.41
Jul-Sep 1993, 16.04
Jul-Sep 1994, 92.03001
Jul-Sep 1995, 67.37
Jul-Sep 1996, 60.58999
Jul-Sep 1997, 36.82
Jul-Sep 1998, 70.54001
Jul-Sep 1999, 49.94
Jul-Sep 2000, 22.01
Jul-Sep 2001, 57.55001
Jul-Sep 2002, 45.17
Jul-Sep 2003, 77.08001
Jul-Sep 2004, 16.48
Jul-Sep 2005, 31.76
Jul-Sep 2006, 47.21001
Jul-Sep 2007, 87.3
Jul-Sep 2008, 79.17998
Jul-Sep 2009, 14.09
Jul-Sep 2010, 30.62
Jul-Sep 2011, 60.98001
Jul-Sep 2012, 52.12
Jul-Sep 2013, 81.66998
Jul-Sep 2014, 75.85999
Jul-Sep 2015, 44.38999
Jul-Sep 2016, 21.96
Jul-Sep 2017, 66.84998
Jul-Sep 2018, 47.03999
Jul-Sep 2019, 62.95
Jul-Sep 2020, 62.89999
Jul-Sep 2021, 34.18999
Jul-Sep 2022, 49.10001
,
,
,
,
,
