Pattern,Support,Density,Avg. Deviation from Diagonal,Rank Dispersion,Graph Connectivity,Singularity Score
"WAJ (EVI)+, (NRB (EVI)+) +12.0 months",0.545,0.498,7.54,5.098,1,1.48
"WAJ (EVI)-, (NRB (EVI)+) +12.0 months",0.45,0.411,7.885,4.977,1,1.562
"WAJ (EVI)+, (KAK (EVI)+) +12.0 months",0.511,0.466,6.907,4.746,1,2.273
"WAJ (EVI)-, (KAK (EVI)+) +12.0 months",0.485,0.443,8.527,5.218,1,2.323
"WAJ (EVI)+, (MAK (EVI)+) +12.0 months",0.485,0.443,8.036,5.074,1,1.77
"WAJ (EVI)-, (MAK (EVI)+) +12.0 months",0.511,0.466,7.373,5.0,1,1.815
"WAJ (EVI)+, (NRB (EVI)+) +12.0 months, (KAK (EVI)+) +12.0 months",0.307,0.281,7.155,5.112,1,2.094
"WAJ (EVI)+, (NRB (EVI)+) +12.0 months, (MAK (EVI)+) +12.0 months",0.268,0.245,7.645,5.055,1,2.383
"WAJ (EVI)-, (NRB (EVI)+) +12.0 months, (KAK (EVI)+) +12.0 months",0.247,0.225,9.0,5.344,1,2.342
"WAJ (EVI)-, (NRB (EVI)+) +12.0 months, (MAK (EVI)+) +12.0 months",0.234,0.213,7.296,4.829,1,2.193
"WAJ (EVI)+, (MAK (EVI)+) +12.0 months, (KAK (EVI)+) +12.0 months",0.186,0.17,6.814,4.059,2,3.656
"WAJ (EVI)-, (MAK (EVI)+) +12.0 months, (KAK (EVI)+) +12.0 months",0.186,0.17,8.093,4.739,1,2.238
"WAJ (EVI)+, (NRB (EVI)+) +12.0 months, (MAK (EVI)+) +12.0 months, (KAK (EVI)+) +12.0 months",0.113,0.103,7.0,4.297,1,3.547
"WAJ (EVI)-, (NRB (EVI)+) +12.0 months, (MAK (EVI)+) +12.0 months, (KAK (EVI)+) +12.0 months",0.104,0.095,8.25,5.222,1,2.33
"WAJ (EVI)+, (NRB (EVI)+) +2.0 years",0.605,0.502,7.079,4.622,1,1.886
"WAJ (EVI)-, (NRB (EVI)+) +2.0 years",0.39,0.324,7.805,5.057,1,1.992
"WAJ (EVI)+, (KAK (EVI)+) +2.0 years",0.357,0.296,6.893,4.545,1,1.865
"WAJ (EVI)-, (KAK (EVI)+) +2.0 years",0.638,0.53,7.627,4.933,1,1.818
"WAJ (EVI)+, (MAK (EVI)+) +2.0 years",0.486,0.403,7.422,4.731,1,2.277
"WAJ (EVI)-, (MAK (EVI)+) +2.0 years",0.51,0.423,7.308,4.884,1,2.284
"WAJ (EVI)+, (NRB (EVI)+) +2.0 years, (KAK (EVI)+) +2.0 years",0.257,0.213,6.574,4.437,1,2.582
"WAJ (EVI)+, (NRB (EVI)+) +2.0 years, (MAK (EVI)+) +2.0 years",0.31,0.257,7.2,4.588,1,2.548
"WAJ (EVI)-, (NRB (EVI)+) +2.0 years, (KAK (EVI)+) +2.0 years",0.29,0.241,7.836,5.17,1,2.073
"WAJ (EVI)-, (NRB (EVI)+) +2.0 years, (MAK (EVI)+) +2.0 years",0.214,0.178,7.8,5.145,1,2.309
